Delta Time, Position, Velocity, 
10, 0.000002, 0.000498, 
10, 0.000003, 0.000014, 
10, 0.000003, 0.000031, 
10, 0.000003, 0.000055, 
10, 0.000004, 0.000086, 
10, 0.000051, 0.004705, 
10, 0.000175, 0.012357, 
10, 0.000336, 0.016140, 
10, 0.000541, 0.020427, 
10, 0.000793, 0.025219, 
10, 0.001098, 0.030515, 
10, 0.001461, 0.036315, 
10, 0.001887, 0.042620, 
10, 0.002382, 0.049429, 
10, 0.002949, 0.056743, 
10, 0.003595, 0.064560, 
10, 0.004323, 0.072882, 
10, 0.005141, 0.081709, 
10, 0.006051, 0.091040, 
10, 0.007060, 0.100875, 
10, 0.008172, 0.111215, 
10, 0.009392, 0.122058, 
10, 0.010727, 0.133407, 
10, 0.012179, 0.145259, 
10, 0.013755, 0.157616, 
10, 0.015460, 0.170477, 
10, 0.017298, 0.183842, 
10, 0.019276, 0.197712, 
10, 0.021396, 0.212085, 
10, 0.023666, 0.226964, 
10, 0.026090, 0.242346, 
10, 0.028672, 0.258232, 
10, 0.031418, 0.274623, 
10, 0.034333, 0.291518, 
10, 0.037422, 0.308917, 
10, 0.040691, 0.326820, 
10, 0.044143, 0.345227, 
10, 0.047784, 0.364138, 
10, 0.051620, 0.383553, 
10, 0.055655, 0.403473, 
10, 0.059893, 0.423896, 
10, 0.064342, 0.444823, 
10, 0.069004, 0.466254, 
10, 0.073886, 0.488189, 
10, 0.078992, 0.510628, 
10, 0.084328, 0.533571, 
10, 0.089898, 0.557017, 
10, 0.095708, 0.580968, 
10, 0.101762, 0.605421, 
10, 0.108066, 0.630379, 
10, 0.114624, 0.655840, 
10, 0.121442, 0.681805, 
10, 0.128525, 0.708273, 
10, 0.135878, 0.735245, 
10, 0.143505, 0.762720, 
10, 0.151412, 0.790699, 
10, 0.159604, 0.819181, 
10, 0.168085, 0.848166, 
10, 0.176862, 0.877654, 
10, 0.185938, 0.907645, 
10, 0.195317, 0.937887, 
10, 0.204998, 0.968128, 
10, 0.214982, 0.998368, 
10, 0.225268, 1.028607, 
10, 0.235857, 1.058844, 
10, 0.246747, 1.089079, 
10, 0.257941, 1.119314, 
10, 0.269436, 1.149546, 
10, 0.281234, 1.179778, 
10, 0.293334, 1.210007, 
10, 0.305736, 1.240235, 
10, 0.318441, 1.270462, 
10, 0.331448, 1.300686, 
10, 0.344757, 1.330909, 
10, 0.358368, 1.361131, 
10, 0.372282, 1.391350, 
10, 0.386497, 1.421568, 
10, 0.401015, 1.451783, 
10, 0.415835, 1.481997, 
10, 0.430957, 1.512209, 
10, 0.446381, 1.542419, 
10, 0.462108, 1.572627, 
10, 0.478136, 1.602832, 
10, 0.494466, 1.633036, 
10, 0.511099, 1.663237, 
10, 0.528033, 1.693436, 
10, 0.545269, 1.723633, 
10, 0.562808, 1.753828, 
10, 0.580648, 1.784020, 
10, 0.598790, 1.814210, 
10, 0.617234, 1.844397, 
10, 0.635980, 1.874582, 
10, 0.655027, 1.904765, 
10, 0.674377, 1.934945, 
10, 0.694028, 1.965122, 
10, 0.713981, 1.995297, 
10, 0.734236, 2.025469, 
10, 0.754792, 2.055638, 
10, 0.775650, 2.085804, 
10, 0.796810, 2.115968, 
10, 0.818271, 2.146129, 
10, 0.840034, 2.176287, 
10, 0.862098, 2.206442, 
10, 0.884464, 2.236594, 
10, 0.907132, 2.266744, 
10, 0.930101, 2.296890, 
10, 0.953371, 2.327033, 
10, 0.976943, 2.357173, 
10, 1.000816, 2.387309, 
10, 1.024990, 2.417443, 
10, 1.049466, 2.447573, 
10, 1.074243, 2.477700, 
10, 1.099321, 2.507824, 
10, 1.124701, 2.537944, 
10, 1.150381, 2.568060, 
10, 1.176363, 2.598174, 
10, 1.202646, 2.628284, 
10, 1.229230, 2.658390, 
10, 1.256115, 2.688493, 
10, 1.283301, 2.718592, 
10, 1.310787, 2.748687, 
10, 1.338575, 2.778778, 
10, 1.366664, 2.808866, 
10, 1.395053, 2.838950, 
10, 1.423744, 2.869031, 
10, 1.452735, 2.899107, 
10, 1.482027, 2.929179, 
10, 1.511619, 2.959248, 
10, 1.541512, 2.989312, 
10, 1.571706, 3.019372, 
10, 1.602200, 3.049429, 
10, 1.632995, 3.079481, 
10, 1.664090, 3.109528, 
10, 1.695486, 3.139572, 
10, 1.727180, 3.169360, 
10, 1.759166, 3.198640, 
10, 1.791440, 3.227414, 
10, 1.823997, 3.255679, 
10, 1.856831, 3.283438, 
10, 1.889938, 3.310690, 
10, 1.923312, 3.337434, 
10, 1.956949, 3.363672, 
10, 1.990843, 3.389403, 
10, 2.024989, 3.414626, 
10, 2.059383, 3.439343, 
10, 2.094018, 3.463554, 
10, 2.128891, 3.487257, 
10, 2.163996, 3.510454, 
10, 2.199327, 3.533145, 
10, 2.234880, 3.555329, 
10, 2.270650, 3.577007, 
10, 2.306632, 3.598179, 
10, 2.342821, 3.618844, 
10, 2.379211, 3.639004, 
10, 2.415797, 3.658657, 
10, 2.452575, 3.677805, 
10, 2.489540, 3.696447, 
10, 2.526686, 3.714583, 
10, 2.564008, 3.732214, 
10, 2.601501, 3.749339, 
10, 2.639161, 3.765959, 
10, 2.676981, 3.782073, 
10, 2.714958, 3.797682, 
10, 2.753086, 3.812787, 
10, 2.791360, 3.827386, 
10, 2.829775, 3.841480, 
10, 2.868325, 3.855070, 
10, 2.907007, 3.868155, 
10, 2.945814, 3.880735, 
10, 2.984742, 3.892811, 
10, 3.023786, 3.904383, 
10, 3.062941, 3.915450, 
10, 3.102201, 3.926014, 
10, 3.141562, 3.936073, 
10, 3.181018, 3.945629, 
10, 3.220565, 3.954680, 
10, 3.260197, 3.963228, 
10, 3.299910, 3.971273, 
10, 3.339698, 3.978814, 
10, 3.379556, 3.985852, 
10, 3.419480, 3.992387, 
10, 3.459465, 3.998418, 
10, 3.499504, 4.003947, 
10, 3.539594, 4.008973, 
10, 3.579729, 4.013496, 
10, 3.619904, 4.017517, 
10, 3.660114, 4.021035, 
10, 3.700355, 4.024051, 
10, 3.740620, 4.026565, 
10, 3.780906, 4.028576, 
10, 3.821207, 4.030086, 
10, 3.861518, 4.031094, 
10, 3.901834, 4.031600, 
10, 3.942150, 4.031605, 
10, 3.982464, 4.031358, 
10, 4.022775, 4.031112, 
10, 4.063083, 4.030866, 
10, 4.103390, 4.030620, 
10, 4.143693, 4.030374, 
10, 4.183995, 4.030127, 
10, 4.224293, 4.029881, 
10, 4.264590, 4.029635, 
10, 4.304884, 4.029388, 
10, 4.345175, 4.029142, 
10, 4.385464, 4.028896, 
10, 4.425750, 4.028650, 
10, 4.466034, 4.028403, 
10, 4.506316, 4.028157, 
10, 4.546595, 4.027911, 
10, 4.586872, 4.027664, 
10, 4.627146, 4.027418, 
10, 4.667418, 4.027172, 
10, 4.707687, 4.026925, 
10, 4.747954, 4.026679, 
10, 4.788218, 4.026432, 
10, 4.828480, 4.026186, 
10, 4.868739, 4.025940, 
10, 4.908996, 4.025693, 
10, 4.949251, 4.025447, 
10, 4.989503, 4.025201, 
10, 5.029752, 4.024954, 
10, 5.069999, 4.024708, 
10, 5.110244, 4.024462, 
10, 5.150486, 4.024215, 
10, 5.190726, 4.023969, 
10, 5.230963, 4.023722, 
10, 5.271198, 4.023476, 
10, 5.311430, 4.023230, 
10, 5.351660, 4.022983, 
10, 5.391887, 4.022737, 
10, 5.432112, 4.022491, 
10, 5.472335, 4.022244, 
10, 5.512555, 4.021998, 
10, 5.552772, 4.021752, 
10, 5.592987, 4.021505, 
10, 5.633200, 4.021259, 
10, 5.673410, 4.021013, 
10, 5.713618, 4.020766, 
10, 5.753823, 4.020520, 
10, 5.794026, 4.020274, 
10, 5.834226, 4.020028, 
10, 5.874424, 4.019781, 
10, 5.914619, 4.019535, 
10, 5.954812, 4.019289, 
10, 5.995002, 4.019042, 
10, 6.035190, 4.018796, 
10, 6.075376, 4.018550, 
10, 6.115559, 4.018304, 
10, 6.155739, 4.018058, 
10, 6.195917, 4.017811, 
10, 6.236093, 4.017565, 
10, 6.276266, 4.017319, 
10, 6.316437, 4.017073, 
10, 6.356605, 4.016826, 
10, 6.396771, 4.016580, 
10, 6.436934, 4.016334, 
10, 6.477095, 4.016088, 
10, 6.517254, 4.015842, 
10, 6.557410, 4.015596, 
10, 6.597563, 4.015350, 
10, 6.637714, 4.015103, 
10, 6.677863, 4.014857, 
10, 6.718009, 4.014611, 
10, 6.758153, 4.014365, 
10, 6.798294, 4.014119, 
10, 6.838432, 4.013873, 
10, 6.878569, 4.013627, 
10, 6.918703, 4.013381, 
10, 6.958834, 4.013135, 
10, 6.998963, 4.012889, 
10, 7.039089, 4.012643, 
10, 7.079213, 4.012397, 
10, 7.119335, 4.012151, 
10, 7.159454, 4.011905, 
10, 7.199570, 4.011659, 
10, 7.239684, 4.011413, 
10, 7.279796, 4.011167, 
10, 7.319905, 4.010921, 
10, 7.360012, 4.010675, 
10, 7.400116, 4.010429, 
10, 7.440218, 4.010183, 
10, 7.480318, 4.009937, 
10, 7.520414, 4.009691, 
10, 7.560509, 4.009445, 
10, 7.600601, 4.009199, 
10, 7.640690, 4.008953, 
10, 7.680777, 4.008707, 
10, 7.720862, 4.008461, 
10, 7.760944, 4.008215, 
10, 7.801024, 4.007969, 
10, 7.841101, 4.007724, 
10, 7.881176, 4.007478, 
10, 7.921248, 4.007232, 
10, 7.961318, 4.006986, 
10, 8.001386, 4.006740, 
10, 8.041450, 4.006494, 
10, 8.081513, 4.006248, 
10, 8.121573, 4.006003, 
10, 8.161631, 4.005757, 
10, 8.201686, 4.005511, 
10, 8.241738, 4.005265, 
10, 8.281789, 4.005019, 
10, 8.321836, 4.004773, 
10, 8.361882, 4.004528, 
10, 8.401924, 4.004282, 
10, 8.441965, 4.004036, 
10, 8.482003, 4.003790, 
10, 8.522038, 4.003544, 
10, 8.562071, 4.003299, 
10, 8.602102, 4.003053, 
10, 8.642130, 4.002807, 
10, 8.682155, 4.002561, 
10, 8.722178, 4.002315, 
10, 8.762199, 4.002070, 
10, 8.802217, 4.001824, 
10, 8.842233, 4.001578, 
10, 8.882246, 4.001332, 
10, 8.922257, 4.001087, 
10, 8.962266, 4.000841, 
10, 9.002272, 4.000595, 
10, 9.042275, 4.000349, 
10, 9.082276, 4.000103, 
10, 9.122275, 3.999858, 
10, 9.162271, 3.999612, 
10, 9.202265, 3.999366, 
10, 9.242256, 3.999120, 
10, 9.282245, 3.998875, 
10, 9.322231, 3.998629, 
10, 9.362215, 3.998383, 
10, 9.402196, 3.998137, 
10, 9.442175, 3.997891, 
10, 9.482151, 3.997646, 
10, 9.522125, 3.997400, 
10, 9.562097, 3.997154, 
10, 9.602066, 3.996908, 
10, 9.642033, 3.996663, 
10, 9.681997, 3.996417, 
10, 9.721958, 3.996171, 
10, 9.761918, 3.995925, 
10, 9.801875, 3.995679, 
10, 9.841829, 3.995434, 
10, 9.881781, 3.995188, 
10, 9.921730, 3.994942, 
10, 9.961677, 3.994696, 
10, 10.001622, 3.994450, 
10, 10.041564, 3.994204, 
10, 10.081503, 3.993959, 
10, 10.121440, 3.993713, 
10, 10.161375, 3.993467, 
10, 10.201307, 3.993221, 
10, 10.241237, 3.992975, 
10, 10.281164, 3.992729, 
10, 10.321089, 3.992483, 
10, 10.361012, 3.992238, 
10, 10.400931, 3.991992, 
10, 10.440849, 3.991746, 
10, 10.480764, 3.991500, 
10, 10.520676, 3.991254, 
10, 10.560587, 3.991008, 
10, 10.600494, 3.990762, 
10, 10.640399, 3.990516, 
10, 10.680302, 3.990270, 
10, 10.720202, 3.990024, 
10, 10.760100, 3.989778, 
10, 10.799995, 3.989532, 
10, 10.839888, 3.989286, 
10, 10.879779, 3.989040, 
10, 10.919667, 3.988795, 
10, 10.959552, 3.988549, 
10, 10.999435, 3.988303, 
10, 11.039316, 3.988057, 
10, 11.079194, 3.987811, 
10, 11.119069, 3.987564, 
10, 11.158943, 3.987318, 
10, 11.198813, 3.987072, 
10, 11.238682, 3.986826, 
10, 11.278547, 3.986580, 
10, 11.318411, 3.986334, 
10, 11.358272, 3.986088, 
10, 11.398130, 3.985842, 
10, 11.437986, 3.985596, 
10, 11.477839, 3.985350, 
10, 11.517691, 3.985104, 
10, 11.557539, 3.984858, 
10, 11.597385, 3.984612, 
10, 11.637229, 3.984365, 
10, 11.677070, 3.984119, 
10, 11.716909, 3.983873, 
10, 11.756745, 3.983627, 
10, 11.796579, 3.983381, 
10, 11.836410, 3.983135, 
10, 11.876239, 3.982888, 
10, 11.916066, 3.982642, 
10, 11.955889, 3.982396, 
